instance_name,scenario_name,status,runtime_sec,vehicle_capacity,num_customers,num_vehicles_available,vehicles_used,num_routes,total_distance,total_load,avg_distance_per_vehicle,avg_load_utilization,distance_per_customer
A-n32-k5,medium,SOLVED,10.001,100,31,7,5,5,792,410,158.4,0.82,25.5484
A-n44-k6,medium,SOLVED,9.9996,100,43,8,6,6,1004,570,167.3333,0.95,23.3488
A-n53-k7,medium,SOLVED,9.9999,100,52,9,7,7,1121,664,160.1429,0.9486,21.5577
A-n60-k9,medium,SOLVED,10.0,100,59,11,9,9,1492,829,165.7778,0.9211,25.2881
A-n69-k9,medium,SOLVED,10.001,100,68,11,9,9,1267,845,140.7778,0.9389,18.6324
